symbol,symbol_1,symbol_2,ranking_stat,avg_adf,avg_freq,volume,industry_1,industry_2,sector_1,sector_2
ARG-BCR,ARG,BCR,69.46189445470694,0.19626025878303208,7.3600000000000003,143916.0,Industrial Gases,Health Care Equipment & Services,Materials,Health Care
CTAS-PCP,CTAS,PCP,69.46125535634616,0.23349031499114289,7.5599999999999996,288647.0,Diversified Commercial Services,Industrial Conglomerates,Industrials,Industrials
SHW-XLNX,SHW,XLNX,69.3919238250123,0.12436293623777277,6.6399999999999997,209423.0,Specialty Chemicals,Semiconductors,Materials,Information Technology
DD-GWW,DD,GWW,69.3841519826452,0.2093419524466367,7.2800000000000002,180537.0,Diversified Chemicals,Industrial Materials,Materials,Industrials
JEC-SRCL,JEC,SRCL,69.32084866532706,0.18246554279150529,6.8399999999999999,177809.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
AZO-TEG,AZO,TEG,69.30149079527774,0.25568965578239905,6.9199999999999999,90678.0,Specialty Stores,Gas Utilities,Consumer Discretionary,Utilities
FITB-TMK,FITB,TMK,69.25126082512816,0.18708145471972876,7.4400000000000004,153397.0,Banks,Life & Health Insurance,Financials,Financials
AZO-SCG,AZO,SCG,69.22694643176038,0.26384548382554401,7.1200000000000001,90678.0,Specialty Stores,Multi-Utilities & Unregulated Power,Consumer Discretionary,Utilities
JWN-SHW,JWN,SHW,69.16707711648225,0.19691505555383337,7.3600000000000003,209423.0,Department Stores,Specialty Chemicals,Consumer Discretionary,Materials
DOV-TMK,DOV,TMK,69.16334508352725,0.2157633051173278,7.0,153397.0,Industrial Machinery,Life & Health Insurance,Industrials,Financials
AAPL-SRCL,AAPL,SRCL,69.00329319930509,0.23416351746238756,7.4400000000000004,177809.0,Computer Hardware,Industrial Conglomerates,Information Technology,Industrials
AZO-LSI,AZO,LSI,68.98287279566365,0.19462542231423119,7.7599999999999998,90678.0,Specialty Stores,Semiconductors,Consumer Discretionary,Information Technology
BLL-CTAS,BLL,CTAS,68.79984696437242,0.21806593323854351,7.6399999999999997,288647.0,Metal & Glass Containers,Diversified Commercial Services,Materials,Industrials
FOXA-HRS,FOXA,HRS,68.76191342374305,0.15932514826014355,6.1600000000000001,185985.0,Publishing,Telecommunications Equipment,Consumer Discretionary,Information Technology
PRGO-TMK,PRGO,TMK,68.75591894398738,0.19999731272315668,6.5199999999999996,153397.0,Pharmaceuticals,Life & Health Insurance,Health Care,Financials
ROP-VAR,ROP,VAR,68.73730929950428,0.17127110537206877,6.5999999999999996,143471.0,Industrial Conglomerates,Health Care Equipment & Services,Industrials,Health Care
GWW-PLL,GWW,PLL,68.73534823997883,0.17371067051715605,7.6799999999999997,180537.0,Industrial Materials,Industrial Conglomerates,Industrials,Industrials
ORLY-SIAL,ORLY,SIAL,68.7223967972362,0.14529987826023308,7.2400000000000002,249591.0,Specialty Stores,Diversified Chemicals,Consumer Discretionary,Materials
AZO-LLL,AZO,LLL,68.68211070930253,0.21359233828349691,7.1200000000000001,90678.0,Specialty Stores,Industrial Conglomerates,Consumer Discretionary,Industrials
CSX-TMK,CSX,TMK,68.67342889685378,0.30680607761448153,7.5999999999999996,153397.0,Railroads,Life & Health Insurance,Industrials,Financials
GWW-PCP,GWW,PCP,68.67075387488559,0.29712968248469829,7.1600000000000001,180537.0,Industrial Materials,Industrial Conglomerates,Industrials,Industrials
FDX-VAR,FDX,VAR,68.66251395630171,0.17153524494687133,6.8399999999999999,214599.0,Air Freight & Logistics,Health Care Equipment & Services,Industrials,Health Care
LSI-PSA,LSI,PSA,68.65140230290785,0.26628024750496077,7.7599999999999998,322547.0,Semiconductors,REITs,Information Technology,Financials
SHW-VMC,SHW,VMC,68.60999946528831,0.12962535303521297,7.1200000000000001,209423.0,Specialty Chemicals,Construction Materials,Materials,Materials
CSC-ORLY,CSC,ORLY,68.59343346027158,0.15536414889077346,6.96,282365.0,IT Consulting & Services,Specialty Stores,Information Technology,Consumer Discretionary
TMK-VAR,TMK,VAR,68.57009317514388,0.20948240482105004,6.7599999999999998,153397.0,Life & Health Insurance,Health Care Equipment & Services,Financials,Health Care
GWW-TMK,GWW,TMK,68.54647097761026,0.34832737374968076,7.4000000000000004,153397.0,Industrial Materials,Life & Health Insurance,Industrials,Financials
LSI-MTB,LSI,MTB,68.52465791145397,0.23076041068496078,7.4400000000000004,258563.0,Semiconductors,Banks,Information Technology,Financials
LLL-SRCL,LLL,SRCL,68.52412323575157,0.29704748544257653,7.4000000000000004,177809.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
BAC-NTRS,BAC,NTRS,68.52029413979291,0.20744738293920023,6.1600000000000001,558797.0,Banks,Diversified Financial Services,Financials,Financials
BF.B-CTAS,BF.B,CTAS,68.47656777061208,0.2002157244825549,7.1600000000000001,222375.0,Distillers & Vintners,Diversified Commercial Services,Consumer Staples,Industrials
