symbol,symbol_1,symbol_2,adf_stat,adf_p,industry_1,industry_2,sector_1,sector_2
CCI-MSI,CCI,MSI,-4.132655136011314,0.0008549090133999143,Wireless Telecommunications Services,Telecommunications Equipment,Telecommunications Services,Information Technology
SNI-TIF,SNI,TIF,-4.132423979250084,0.0008556674243828615,Broadcasting & Cable TV,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,Consumer Discretionary
CAT-QEP,CAT,QEP,-4.132198830014071,0.0008564067313591329,Construction & Farm Machinery & Heavy Trucks,Oil & Gas Exploration & Production,Industrials,Energy
AFL-DTV,AFL,DTV,-4.132106847739384,0.0008567089394497052,Life & Health Insurance,Broadcasting & Cable TV,Financials,Consumer Discretionary
PPG-SE,PPG,SE,-4.13209478747712,0.0008567485708966163,Diversified Chemicals,Oil & Gas Refining & Marketing & Transportation,Materials,Energy
AEP-LNC,AEP,LNC,-4.132014797497743,0.0008570114709258058,Electric Utilities,Multi-line Insurance,Utilities,Financials
SIAL-SYMC,SIAL,SYMC,-4.131782541945092,0.0008577752450774412,Diversified Chemicals,Application Software,Materials,Information Technology
ECL-EW,ECL,EW,-4.129860933406804,0.000864118993076728,Specialty Chemicals,Health Care Equipment & Services,Materials,Health Care
MMC-TAP,MMC,TAP,-4.129786899489067,0.0008643642765771082,Insurance Brokers,Brewers,Financials,Consumer Staples
AVY-CME,AVY,CME,-4.129349715574534,0.0008658140518851394,Paper Packaging,Diversified Financial Services,Materials,Financials
EMC-MCHP,EMC,MCHP,-4.12870601757081,0.0008679528116420862,IT Consulting & Services,Semiconductors,Information Technology,Information Technology
F-FLIR,F,FLIR,-4.12821101015399,0.0008696008971899595,Automobile Manufacturers,Aerospace & Defense,Consumer Discretionary,Industrials
APA-QEP,APA,QEP,-4.127959375394508,0.000870439818009712,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,Energy,Energy
AVB-MMM,AVB,MMM,-4.127691211727544,0.0008713346791554999,REITs,Industrial Conglomerates,Financials,Industrials
